intent,expanded_intents
Close/hide the Android Soft Keyboard,"['close', 'hide', 'android', 'soft', 'keyboard', 'soft']"
How to get the build/version number of your Android application?,"['get', 'build', 'version', 'number', 'android', 'application', 'activity']"
Sending an Intent to browser to open specific URL,"['sending', 'intent', 'browser', 'open', 'specific', 'url', 'browser']"
How to check internet access on Android? InetAddress never times out,"['check', 'internet', 'access', 'android', 'inet', 'address', 'never', 'times', 'device']"
Retrieving Android API version programmatically,"['retrieving', 'android', 'api', 'version', 'programmatically', 'application']"
How do I restart an Android Activity,"['restart', 'android', 'activity', 'get']"
"How to determine device screen size category (small, normal, large, xlarge) using code?","['determine', 'device', 'screen', 'size', 'category', 'small', 'normal', 'large', 'xlarge', 'using', 'code', 'android']"
How to get a list of installed android applications and pick one to run,"['get', 'list', 'installed', 'android', 'applications', 'pick', 'one', 'run', 'activity']"
Height of status bar in Android,"['height', 'status', 'bar', 'android', 'hide']"
How to make a phone call using intent in Android?,"['make', 'phone', 'call', 'using', 'intent', 'android', 'call']"
What is the size of ActionBar in pixels?,"['size', 'action', 'bar', 'pixels', 'android']"
Clicking URLs opens default browser,"['clicking', 'urls', 'opens', 'default', 'browser', 'android']"
How to exit from the application and show the home screen?,"['exit', 'application', 'show', 'home', 'screen', 'programmatically']"
"Android: allow portrait and landscape for tablets, but force portrait on phone?","['android', 'allow', 'portrait', 'landscape', 'tablets', 'force', 'portrait', 'phone', 'phone']"
Calling startActivity() from outside of an Activity?,"['calling', 'start', 'activity', 'outside', 'activity', 'android']"
How to get the ActionBar height?,"['get', 'action', 'bar', 'height', 'android']"
Android Center text on canvas,"['android', 'center', 'text', 'canvas', 'view']"
SwipeRefreshLayout setRefreshing() not showing indicator initially,"['swipe', 'refresh', 'layout', 'set', 'refreshing', 'showing', 'indicator', 'initially', 'layout']"
Android Reading from an Input stream efficiently,"['android', 'reading', 'input', 'stream', 'efficiently', 'accessibility']"
Call removeView() on the child's parent first,"['call', 'remove', 'view', 'child', 'parent', 'first', 'action']"
How to delete a whole folder and content?,"['delete', 'whole', 'folder', 'content']"
How to set text size of textview dynamically for different screens,"['set', 'text', 'size', 'textview', 'dynamically', 'different', 'screens', 'android']"
How do I prevent Android taking a screenshot when my app goes to the background?,"['prevent', 'android', 'taking', 'screenshot', 'app', 'goes', 'background', 'market']"
Android get hosting Activity from a view,"['android', 'get', 'hosting', 'activity', 'view', 'activity']"
